response,trial_id,trialnumber,subject,type,attested,consonant,vowel
yes,143,20,WGE29,training,yes,kp,ue
yes,143,22,IHB37,training,yes,kp,ue
yes,143,22,MBE36,training,yes,kp,ue
yes,143,24,IXJ33,training,yes,kp,ue
yes,144,19,HNS15,training,yes,kp,ui
yes,144,19,SUI10,training,yes,kp,ui
yes,144,20,ZKN24,training,yes,kp,ui
yes,144,21,JGJ14,training,yes,kp,ui
yes,144,23,JXT29,training,yes,kp,ui
yes,144,24,PQU27,training,yes,kp,ui
yes,145,11,GTK36,training,yes,nsh,ae
yes,145,11,JGJ14,training,yes,nsh,ae
yes,145,11,YGH17,training,yes,nsh,ae
yes,145,13,WIR19,training,yes,nsh,ae
yes,145,15,FLQ15,training,yes,nsh,ae
yes,145,16,LXE12,training,yes,nsh,ae
yes,145,18,CSE47,training,yes,nsh,ae
yes,146,16,DUY43,training,yes,nsh,ai
yes,146,16,OMR16,training,yes,nsh,ai
yes,146,17,HNI31,training,yes,nsh,ai
yes,146,18,XXX13,training,yes,nsh,ai
yes,147,13,PQU27,training,yes,nsh,au
yes,147,15,AGU45,training,yes,nsh,au
yes,147,17,TZL16,training,yes,nsh,au
yes,147,18,DEY7,training,yes,nsh,au
yes,148,13,QZV17,identical,no,ss,ae
yes,148,17,APO16,identical,no,ss,ae
yes,149,12,AQD31,identical,no,ss,ai
yes,15,13,JPD23,training,yes,shj,iu
yes,15,14,ITF10,training,yes,shj,iu
yes,150,11,XRI46,identical,no,ss,au
yes,150,13,ITF10,identical,no,ss,au
yes,151,13,WRW13,training,yes,nsh,ea
yes,151,18,CTU23,training,yes,nsh,ea
yes,152,12,MBE36,training,yes,nsh,ei
yes,152,13,JTL5,training,yes,nsh,ei
yes,152,15,AQD31,training,yes,nsh,ei
yes,152,16,PJQ22,training,yes,nsh,ei
yes,153,12,QZV17,training,yes,nsh,eu
yes,153,16,HTD30,training,yes,nsh,eu
yes,153,17,FTY34,training,yes,nsh,eu
yes,153,17,LSL5,training,yes,nsh,eu
yes,153,18,SUI10,training,yes,nsh,eu
yes,155,11,DUY43,identical,no,ss,ei
yes,156,11,IXJ33,identical,no,ss,eu
yes,156,13,RTM20,identical,no,ss,eu
yes,156,15,OWP11,identical,no,ss,eu
yes,156,16,GHH42,identical,no,ss,eu
yes,156,17,LXE12,identical,no,ss,eu
yes,156,18,ZKN24,identical,no,ss,eu
yes,159,19,PQU27,arbitrary,no,shp,au
yes,159,19,SDH19,arbitrary,no,shp,au
yes,159,24,WJQ20,arbitrary,no,shp,au
yes,159,25,KPY6,arbitrary,no,shp,au
yes,16,26,IXJ33,arbitrary,no,gsh,ia
yes,16,26,WRW13,arbitrary,no,gsh,ia
yes,161,11,WGE29,training,yes,jm,ai
yes,161,14,JPD23,training,yes,jm,ai
yes,161,15,SUI10,training,yes,jm,ai
yes,161,17,PQU27,training,yes,jm,ai
yes,161,18,LSL5,training,yes,jm,ai
yes,162,12,CTU23,training,yes,jm,au
yes,162,12,KPY6,training,yes,jm,au
yes,162,16,BJE32,training,yes,jm,au
yes,162,17,EXG29,training,yes,jm,au
yes,162,17,XYI7,training,yes,jm,au
yes,162,18,LWE35,training,yes,jm,au
yes,162,18,LXE12,training,yes,jm,au
yes,162,18,VTY20,training,yes,jm,au
yes,163,19,FEY33,arbitrary,no,shp,ea
yes,163,19,FTY34,arbitrary,no,shp,ea
yes,163,19,LXE12,arbitrary,no,shp,ea
yes,163,19,OMR16,arbitrary,no,shp,ea
yes,163,26,APO16,arbitrary,no,shp,ea
yes,164,23,ZKN24,arbitrary,no,shp,ei
yes,165,20,JPD23,arbitrary,no,shp,eu
yes,165,23,THB15,arbitrary,no,shp,eu
yes,165,25,XZM17,arbitrary,no,shp,eu
yes,165,26,PRM39,arbitrary,no,shp,eu
yes,166,11,OWP11,training,yes,jm,ea
yes,166,14,AQD31,training,yes,jm,ea
yes,166,14,FLQ15,training,yes,jm,ea
yes,166,14,YGH17,training,yes,jm,ea
yes,166,15,MBE36,training,yes,jm,ea
yes,166,18,DQJ26,training,yes,jm,ea
yes,166,18,GHH42,training,yes,jm,ea
yes,166,18,YCA20,training,yes,jm,ea
yes,167,12,GTK36,training,yes,jm,ei
yes,167,14,OMR16,training,yes,jm,ei
yes,167,15,JTL5,training,yes,jm,ei
yes,167,16,OOM11,training,yes,jm,ei
yes,168,13,JGJ14,training,yes,jm,eu
yes,168,13,THB15,training,yes,jm,eu
yes,168,13,ZQN28,training,yes,jm,eu
yes,168,14,AGU45,training,yes,jm,eu
yes,168,14,WRW13,training,yes,jm,eu
yes,168,15,WJQ20,training,yes,jm,eu
yes,168,16,XRI46,training,yes,jm,eu
yes,169,19,EXG29,arbitrary,no,shp,ia
yes,169,23,QZV17,arbitrary,no,shp,ia
yes,17,20,QZV17,arbitrary,no,gsh,ie
yes,17,21,THB15,arbitrary,no,gsh,ie
yes,17,22,CTU23,arbitrary,no,gsh,ie
yes,17,24,PRM39,arbitrary,no,gsh,ie
yes,170,22,PAA25,arbitrary,no,shp,ie
yes,170,23,GHH42,arbitrary,no,shp,ie
yes,170,23,ITF10,arbitrary,no,shp,ie
yes,170,26,HNS15,arbitrary,no,shp,ie
yes,171,20,GTK36,arbitrary,no,shp,iu
yes,171,21,OOM11,arbitrary,no,shp,iu
yes,171,23,AQD31,arbitrary,no,shp,iu
yes,171,24,JXT29,arbitrary,no,shp,iu
yes,172,14,XZM17,training,yes,jm,ia
yes,172,17,BUN5,training,yes,jm,ia
yes,173,13,PJQ22,training,yes,jm,ie
yes,173,16,ZKN24,training,yes,jm,ie
yes,174,11,JXT29,training,yes,jm,iu
yes,174,12,YTA13,training,yes,jm,iu
yes,174,15,DXA19,training,yes,jm,iu
yes,174,15,IXJ33,training,yes,jm,iu
yes,174,17,SDH19,training,yes,jm,iu
yes,175,19,YGH17,arbitrary,no,shp,ua
yes,175,23,WHL13,arbitrary,no,shp,ua
yes,175,24,BRM12,arbitrary,no,shp,ua
yes,175,25,FLQ15,arbitrary,no,shp,ua
yes,175,25,HYA18,arbitrary,no,shp,ua
yes,176,22,OWP11,arbitrary,no,shp,ue
yes,176,25,YCA20,arbitrary,no,shp,ue
yes,177,21,PJQ22,arbitrary,no,shp,ui
yes,178,14,CSE47,training,yes,jm,ua
yes,178,15,APO16,training,yes,jm,ua
yes,178,15,IHB37,training,yes,jm,ua
yes,178,16,QZV17,training,yes,jm,ua
yes,178,18,ITF10,training,yes,jm,ua
yes,179,13,SDQ13,training,yes,jm,ue
yes,179,14,BOP7,training,yes,jm,ue
yes,179,16,BRM12,training,yes,jm,ue
yes,179,16,DEY7,training,yes,jm,ue
yes,179,16,HYA18,training,yes,jm,ue
yes,179,18,HNS15,training,yes,jm,ue
yes,179,18,RTM20,training,yes,jm,ue
yes,18,21,BJE32,arbitrary,no,gsh,iu
yes,18,21,OWP11,arbitrary,no,gsh,iu
yes,18,24,HNS15,arbitrary,no,gsh,iu
yes,18,25,CSE47,arbitrary,no,gsh,iu
yes,18,25,ONC29,arbitrary,no,gsh,iu
yes,180,12,FTY34,training,yes,jm,ui
yes,180,13,FEY33,training,yes,jm,ui
yes,180,14,DUY43,training,yes,jm,ui
yes,180,15,HTD30,training,yes,jm,ui
yes,181,14,JXT29,training,yes,nsh,ia
yes,181,15,JPD23,training,yes,nsh,ia
yes,181,15,XRI46,training,yes,nsh,ia
yes,181,18,ZQN28,training,yes,nsh,ia
yes,182,12,BRM12,training,yes,nsh,ie
yes,182,12,ITF10,training,yes,nsh,ie
yes,182,12,SDH19,training,yes,nsh,ie
yes,182,12,YCA20,training,yes,nsh,ie
yes,182,13,HNS15,training,yes,nsh,ie
yes,182,16,XYI7,training,yes,nsh,ie
yes,182,17,FEY33,training,yes,nsh,ie
yes,182,17,IXJ33,training,yes,nsh,ie
yes,183,11,IHB37,training,yes,nsh,iu
yes,183,13,ZKN24,training,yes,nsh,iu
yes,183,16,APO16,training,yes,nsh,iu
yes,183,17,WHL13,training,yes,nsh,iu
yes,185,14,KPY6,identical,no,ss,ie
yes,185,17,PJQ22,identical,no,ss,ie
yes,186,12,SDQ13,identical,no,ss,iu
yes,186,16,WJQ20,identical,no,ss,iu
yes,186,17,DEY7,identical,no,ss,iu
yes,186,17,JGJ14,identical,no,ss,iu
yes,187,11,RTM20,training,yes,nsh,ua
yes,187,11,THB15,training,yes,nsh,ua
yes,187,12,XZM17,training,yes,nsh,ua
yes,187,14,LWE35,training,yes,nsh,ua
yes,187,14,OOM11,training,yes,nsh,ua
yes,187,18,BJE32,training,yes,nsh,ua
yes,188,12,NBS40,training,yes,nsh,ue
yes,188,16,BUN5,training,yes,nsh,ue
yes,188,16,DQJ26,training,yes,nsh,ue
yes,188,16,KPY6,training,yes,nsh,ue
yes,189,11,EXG29,training,yes,nsh,ui
yes,189,12,DXA19,training,yes,nsh,ui
yes,189,12,OWP11,training,yes,nsh,ui
yes,189,12,PAA25,training,yes,nsh,ui
yes,189,14,SDQ13,training,yes,nsh,ui
yes,189,15,WGE29,training,yes,nsh,ui
yes,189,17,HYA18,training,yes,nsh,ui
yes,19,14,PJQ22,training,yes,shj,ua
yes,19,14,WHL13,training,yes,shj,ua
yes,19,16,AGU45,training,yes,shj,ua
yes,19,16,BOP7,training,yes,shj,ua
yes,190,11,XYI7,identical,no,ss,ua
yes,190,14,BUN5,identical,no,ss,ua
yes,190,14,ZQN28,identical,no,ss,ua
yes,190,15,DQJ26,identical,no,ss,ua
yes,191,12,HNS15,identical,no,ss,ue
yes,191,16,JXT29,identical,no,ss,ue
yes,192,13,PRM39,identical,no,ss,ui
yes,192,15,YCA20,identical,no,ss,ui
yes,192,17,THB15,identical,no,ss,ui
yes,2,11,HYA18,training,yes,shj,ai
yes,2,12,XXX13,training,yes,shj,ai
yes,2,13,IHB37,training,yes,shj,ai
yes,2,13,TZL16,training,yes,shj,ai
yes,2,14,DQJ26,training,yes,shj,ai
yes,2,14,EXG29,training,yes,shj,ai
yes,2,16,FEY33,training,yes,shj,ai
yes,2,17,KPY6,training,yes,shj,ai
yes,20,12,IXJ33,training,yes,shj,ue
yes,20,12,WIR19,training,yes,shj,ue
yes,20,14,FTY34,training,yes,shj,ue
yes,20,14,THB15,training,yes,shj,ue
yes,20,14,XYI7,training,yes,shj,ue
yes,21,12,WGE29,training,yes,shj,ui
yes,21,13,XRI46,training,yes,shj,ui
yes,21,15,BJE32,training,yes,shj,ui
yes,21,16,OWP11,training,yes,shj,ui
yes,21,18,SDH19,training,yes,shj,ui
yes,22,19,LWE35,arbitrary,no,gsh,ua
yes,22,19,XZM17,arbitrary,no,gsh,ua
yes,22,23,GTK36,arbitrary,no,gsh,ua
yes,22,23,WGE29,arbitrary,no,gsh,ua
yes,23,20,HTD30,arbitrary,no,gsh,ue
yes,23,26,FLQ15,arbitrary,no,gsh,ue
yes,24,22,OOM11,arbitrary,no,gsh,ui
yes,24,23,FTY34,arbitrary,no,gsh,ui
yes,25,26,WGE29,identical,no,jj,ae
yes,26,19,PJQ22,identical,no,jj,ai
yes,26,22,JTL5,identical,no,jj,ai
yes,26,22,SDH19,identical,no,jj,ai
yes,26,23,XZM17,identical,no,jj,ai
yes,26,25,FTY34,identical,no,jj,ai
yes,26,26,MBE36,identical,no,jj,ai
yes,27,21,HNS15,identical,no,jj,au
yes,27,22,APO16,identical,no,jj,au
yes,27,24,AQD31,identical,no,jj,au
yes,28,11,ZKN24,training,yes,gk,ae
yes,28,13,JXT29,training,yes,gk,ae
yes,28,13,WHL13,training,yes,gk,ae
yes,28,14,HNS15,training,yes,gk,ae
yes,28,14,IXJ33,training,yes,gk,ae
yes,28,18,IHB37,training,yes,gk,ae
yes,28,18,KPY6,training,yes,gk,ae
yes,29,11,HTD30,training,yes,gk,ai
yes,29,11,NBS40,training,yes,gk,ai
yes,29,16,EXG29,training,yes,gk,ai
yes,29,17,RTM20,training,yes,gk,ai
yes,3,13,CSE47,training,yes,shj,au
yes,3,13,PAA25,training,yes,shj,au
yes,3,16,JTL5,training,yes,shj,au
yes,3,17,DXA19,training,yes,shj,au
yes,30,12,OMR16,training,yes,gk,au
yes,30,13,BRM12,training,yes,gk,au
yes,30,17,ONC29,training,yes,gk,au
yes,30,18,HNI31,training,yes,gk,au
yes,31,21,ITF10,identical,no,jj,ea
yes,32,21,FLQ15,identical,no,jj,ei
yes,32,21,WRW13,identical,no,jj,ei
yes,33,20,FEY33,identical,no,jj,eu
yes,34,11,APO16,training,yes,gk,ea
yes,34,12,LXE12,training,yes,gk,ea
yes,34,13,LWE35,training,yes,gk,ea
yes,34,16,PAA25,training,yes,gk,ea
yes,34,16,THB15,training,yes,gk,ea
yes,34,18,DUY43,training,yes,gk,ea
yes,34,18,DXA19,training,yes,gk,ea
yes,35,15,SDH19,training,yes,gk,ei
yes,35,18,OWP11,training,yes,gk,ei
yes,36,16,ZQN28,training,yes,gk,eu
yes,37,22,DXA19,identical,no,jj,ia
yes,37,23,HYA18,identical,no,jj,ia
yes,38,19,AGU45,identical,no,jj,ie
yes,39,19,DQJ26,identical,no,jj,iu
yes,39,19,THB15,identical,no,jj,iu
yes,39,26,QZV17,identical,no,jj,iu
yes,4,19,JTL5,arbitrary,no,gsh,ae
yes,4,20,WIR19,arbitrary,no,gsh,ae
yes,4,24,GHH42,arbitrary,no,gsh,ae
yes,40,12,BJE32,training,yes,gk,ia
yes,40,16,CTU23,training,yes,gk,ia
yes,40,16,MBE36,training,yes,gk,ia
yes,40,18,FLQ15,training,yes,gk,ia
yes,41,11,FEY33,training,yes,gk,ie
yes,41,11,WIR19,training,yes,gk,ie
yes,41,16,WGE29,training,yes,gk,ie
yes,42,13,YCA20,training,yes,gk,iu
yes,42,13,YGH17,training,yes,gk,iu
yes,42,15,HYA18,training,yes,gk,iu
yes,42,15,PQU27,training,yes,gk,iu
yes,42,15,YTA13,training,yes,gk,iu
yes,42,16,XZM17,training,yes,gk,iu
yes,42,17,XRI46,training,yes,gk,iu
yes,42,18,FTY34,training,yes,gk,iu
yes,43,19,JXT29,identical,no,jj,ua
yes,43,21,GHH42,identical,no,jj,ua
yes,43,23,NBS40,identical,no,jj,ua
yes,44,19,WIR19,identical,no,jj,ue
yes,44,22,ONC29,identical,no,jj,ue
yes,44,26,OMR16,identical,no,jj,ue
yes,45,22,KPY6,identical,no,jj,ui
yes,45,23,LWE35,identical,no,jj,ui
yes,45,24,LXE12,identical,no,jj,ui
yes,46,15,CSE47,training,yes,gk,ua
yes,46,16,PRM39,training,yes,gk,ua
yes,46,17,WRW13,training,yes,gk,ua
yes,46,18,OOM11,training,yes,gk,ua
yes,47,11,QZV17,training,yes,gk,ue
yes,47,11,WJQ20,training,yes,gk,ue
yes,47,12,JGJ14,training,yes,gk,ue
yes,47,12,JPD23,training,yes,gk,ue
yes,47,18,PJQ22,training,yes,gk,ue
yes,48,15,XYI7,training,yes,gk,ui
yes,48,16,GTK36,training,yes,gk,ui
yes,48,17,ITF10,training,yes,gk,ui
yes,48,18,JTL5,training,yes,gk,ui
yes,49,19,GTK36,identical,no,kk,ae
yes,49,24,AGU45,identical,no,kk,ae
yes,5,22,LXE12,arbitrary,no,gsh,ai
yes,5,25,ITF10,arbitrary,no,gsh,ai
yes,50,20,JGJ14,identical,no,kk,ai
yes,51,20,YCA20,identical,no,kk,au
yes,51,21,QZV17,identical,no,kk,au
yes,51,23,OMR16,identical,no,kk,au
yes,51,24,FLQ15,identical,no,kk,au
yes,51,24,YGH17,identical,no,kk,au
yes,52,19,BOP7,training,yes,mn,ae
yes,52,20,EXG29,training,yes,mn,ae
yes,52,20,MBE36,training,yes,mn,ae
yes,52,20,WJQ20,training,yes,mn,ae
yes,52,22,YTA13,training,yes,mn,ae
yes,52,24,DXA19,training,yes,mn,ae
yes,52,24,FEY33,training,yes,mn,ae
yes,52,25,AQD31,training,yes,mn,ae
yes,52,25,PRM39,training,yes,mn,ae
yes,52,26,LWE35,training,yes,mn,ae
yes,53,23,YCA20,training,yes,mn,ai
yes,53,25,YGH17,training,yes,mn,ai
yes,53,26,AGU45,training,yes,mn,ai
yes,54,20,CTU23,training,yes,mn,au
yes,54,20,THB15,training,yes,mn,au
yes,54,22,XZM17,training,yes,mn,au
yes,55,20,SDH19,identical,no,kk,ea
yes,55,26,IHB37,identical,no,kk,ea
yes,55,26,OWP11,identical,no,kk,ea
yes,56,21,NBS40,identical,no,kk,ei
yes,56,22,WGE29,identical,no,kk,ei
yes,56,23,LXE12,identical,no,kk,ei
yes,56,25,HNS15,identical,no,kk,ei
yes,56,25,YTA13,identical,no,kk,ei
yes,57,19,DXA19,identical,no,kk,eu
yes,57,19,HNI31,identical,no,kk,eu
yes,57,19,RTM20,identical,no,kk,eu
yes,57,21,LWE35,identical,no,kk,eu
yes,57,24,PAA25,identical,no,kk,eu
yes,57,25,BUN5,identical,no,kk,eu
yes,58,20,FLQ15,training,yes,mn,ea
yes,58,20,PJQ22,training,yes,mn,ea
yes,58,23,HNS15,training,yes,mn,ea
yes,58,25,JXT29,training,yes,mn,ea
yes,59,19,JPD23,training,yes,mn,ei
yes,59,23,DQJ26,training,yes,mn,ei
yes,59,24,DUY43,training,yes,mn,ei
yes,59,26,ITF10,training,yes,mn,ei
yes,6,21,ZQN28,arbitrary,no,gsh,au
yes,6,22,JXT29,arbitrary,no,gsh,au
yes,6,24,ZLO20,arbitrary,no,gsh,au
yes,60,20,HYA18,training,yes,mn,eu
yes,60,20,JTL5,training,yes,mn,eu
yes,60,20,KPY6,training,yes,mn,eu
yes,60,21,IHB37,training,yes,mn,eu
yes,60,22,PQU27,training,yes,mn,eu
yes,60,26,CSE47,training,yes,mn,eu
yes,61,19,APO16,identical,no,kk,ia
yes,61,24,ITF10,identical,no,kk,ia
yes,62,21,AQD31,identical,no,kk,ie
yes,62,23,DEY7,identical,no,kk,ie
yes,62,26,FTY34,identical,no,kk,ie
yes,63,26,BRM12,identical,no,kk,iu
yes,64,20,LXE12,training,yes,mn,ia
yes,64,20,OWP11,training,yes,mn,ia
yes,64,23,JGJ14,training,yes,mn,ia
yes,64,24,OMR16,training,yes,mn,ia
yes,64,24,WGE29,training,yes,mn,ia
yes,64,25,OOM11,training,yes,mn,ia
yes,65,19,BRM12,training,yes,mn,ie
yes,65,20,XRI46,training,yes,mn,ie
yes,65,22,BJE32,training,yes,mn,ie
yes,65,22,BUN5,training,yes,mn,ie
yes,65,23,SDH19,training,yes,mn,ie
yes,65,24,HTD30,training,yes,mn,ie
yes,65,26,ZQN28,training,yes,mn,ie
yes,66,21,SDQ13,training,yes,mn,iu
yes,66,22,LSL5,training,yes,mn,iu
yes,66,22,TZL16,training,yes,mn,iu
yes,66,23,VTY20,training,yes,mn,iu
yes,66,25,RTM20,training,yes,mn,iu
yes,68,19,BJE32,identical,no,kk,ue
yes,68,19,ZLO20,identical,no,kk,ue
yes,68,24,JTL5,identical,no,kk,ue
yes,68,26,CTU23,identical,no,kk,ue
yes,69,21,TZL16,identical,no,kk,ui
yes,69,23,PRM39,identical,no,kk,ui
yes,7,12,WJQ20,training,yes,shj,ea
yes,7,14,YTA13,training,yes,shj,ea
yes,7,16,SDQ13,training,yes,shj,ea
yes,7,17,HTD30,training,yes,shj,ea
yes,70,20,XXX13,training,yes,mn,ua
yes,70,22,SUI10,training,yes,mn,ua
yes,70,22,ZKN24,training,yes,mn,ua
yes,71,21,FTY34,training,yes,mn,ue
yes,71,21,HNI31,training,yes,mn,ue
yes,71,22,QZV17,training,yes,mn,ue
yes,71,24,APO16,training,yes,mn,ue
yes,73,22,HNS15,training,yes,sg,ae
yes,73,22,SDQ13,training,yes,sg,ae
yes,73,24,LSL5,training,yes,sg,ae
yes,73,24,TZL16,training,yes,sg,ae
yes,74,19,FLQ15,training,yes,sg,ai
yes,74,20,ONC29,training,yes,sg,ai
yes,75,20,IHB37,training,yes,sg,au
yes,76,11,KPY6,identical,no,mm,ae
yes,76,12,THB15,identical,no,mm,ae
yes,76,18,HTD30,identical,no,mm,ae
yes,78,12,RTM20,identical,no,mm,au
yes,78,16,JGJ14,identical,no,mm,au
yes,78,17,ZKN24,identical,no,mm,au
yes,78,18,WGE29,identical,no,mm,au
yes,79,19,JGJ14,training,yes,sg,ea
yes,79,20,IXJ33,training,yes,sg,ea
yes,79,20,WHL13,training,yes,sg,ea
yes,79,25,GTK36,training,yes,sg,ea
yes,8,11,LXE12,training,yes,shj,ei
yes,8,12,YGH17,training,yes,shj,ei
yes,8,15,XZM17,training,yes,shj,ei
yes,8,15,ZQN28,training,yes,shj,ei
yes,8,18,QZV17,training,yes,shj,ei
yes,80,20,BJE32,training,yes,sg,ei
yes,80,21,JXT29,training,yes,sg,ei
yes,80,21,YCA20,training,yes,sg,ei
yes,80,22,OMR16,training,yes,sg,ei
yes,80,26,DXA19,training,yes,sg,ei
yes,81,19,VTY20,training,yes,sg,eu
yes,81,19,WGE29,training,yes,sg,eu
yes,81,25,DQJ26,training,yes,sg,eu
yes,81,26,NBS40,training,yes,sg,eu
yes,82,15,OOM11,identical,no,mm,ea
yes,83,11,ZQN28,identical,no,mm,ei
yes,83,14,OWP11,identical,no,mm,ei
yes,85,19,ZKN24,training,yes,sg,ia
yes,85,21,DEY7,training,yes,sg,ia
yes,86,20,YTA13,training,yes,sg,ie
yes,86,24,HYA18,training,yes,sg,ie
yes,86,25,OWP11,training,yes,sg,ie
yes,86,26,XZM17,training,yes,sg,ie
yes,87,23,KPY6,training,yes,sg,iu
yes,87,24,LWE35,training,yes,sg,iu
yes,88,12,FEY33,identical,no,mm,ia
yes,88,15,LSL5,identical,no,mm,ia
yes,88,17,HNS15,identical,no,mm,ia
yes,88,17,LWE35,identical,no,mm,ia
yes,89,13,XZM17,identical,no,mm,ie
yes,9,11,ONC29,training,yes,shj,eu
yes,9,11,SUI10,training,yes,shj,eu
yes,9,12,DEY7,training,yes,shj,eu
yes,9,14,ZKN24,training,yes,shj,eu
yes,9,15,JGJ14,training,yes,shj,eu
yes,9,16,HNS15,training,yes,shj,eu
yes,9,18,AQD31,training,yes,shj,eu
yes,90,11,AGU45,identical,no,mm,iu
yes,90,14,SDH19,identical,no,mm,iu
yes,90,14,XRI46,identical,no,mm,iu
yes,90,15,LXE12,identical,no,mm,iu
yes,90,17,GHH42,identical,no,mm,iu
yes,91,19,HTD30,training,yes,sg,ua
yes,91,21,CTU23,training,yes,sg,ua
yes,91,21,PAA25,training,yes,sg,ua
yes,91,22,FTY34,training,yes,sg,ua
yes,91,23,JTL5,training,yes,sg,ua
yes,91,23,ZQN28,training,yes,sg,ua
yes,91,24,SDH19,training,yes,sg,ua
yes,91,24,THB15,training,yes,sg,ua
yes,91,25,EXG29,training,yes,sg,ua
yes,91,26,PQU27,training,yes,sg,ua
yes,92,22,AQD31,training,yes,sg,ue
yes,92,22,CSE47,training,yes,sg,ue
yes,92,22,WRW13,training,yes,sg,ue
yes,92,25,LXE12,training,yes,sg,ue
yes,93,20,AGU45,training,yes,sg,ui
yes,93,20,APO16,training,yes,sg,ui
yes,93,21,JPD23,training,yes,sg,ui
yes,93,22,XRI46,training,yes,sg,ui
yes,93,26,YGH17,training,yes,sg,ui
yes,94,14,APO16,identical,no,mm,ua
yes,95,11,DEY7,identical,no,mm,ue
yes,95,14,ZLO20,identical,no,mm,ue
yes,95,16,SUI10,identical,no,mm,ue
yes,95,17,GTK36,identical,no,mm,ue
yes,95,18,BOP7,identical,no,mm,ue
yes,96,11,BJE32,identical,no,mm,ui
yes,96,13,IXJ33,identical,no,mm,ui
yes,96,15,BUN5,identical,no,mm,ui
yes,96,15,QZV17,identical,no,mm,ui
yes,96,17,YTA13,identical,no,mm,ui
yes,97,11,BRM12,arbitrary,no,ng,ae
yes,97,13,LXE12,arbitrary,no,ng,ae
yes,97,18,XRI46,arbitrary,no,ng,ae
yes,98,11,HNS15,arbitrary,no,ng,ai
yes,98,12,JTL5,arbitrary,no,ng,ai
yes,98,13,AGU45,arbitrary,no,ng,ai
yes,98,18,GTK36,arbitrary,no,ng,ai
yes,99,11,DXA19,arbitrary,no,ng,au
yes,99,11,SDH19,arbitrary,no,ng,au
yes,99,11,YTA13,arbitrary,no,ng,au
yes,99,13,HNI31,arbitrary,no,ng,au
yes,99,14,JGJ14,arbitrary,no,ng,au
yes,99,17,OWP11,arbitrary,no,ng,au
