stimulus,c1,v1,n,v2,voicing
zomu,z,o,m,u,voiced
zona,z,o,n,a,voiced
zonil,z,o,n,i,voiced
zonu,z,o,n,u,voiced
zula,z,u,l,a,voiced
zuli,z,u,l,i,voiced
zulu,z,u,l,u,voiced
zuman,z,u,m,a,voiced
zumin,z,u,m,i,voiced
zumu,z,u,m,u,voiced
zuna,z,u,n,a,voiced
zuni,z,u,n,i,voiced
zunu,z,u,n,u,voiced
